PYRIDOXAL-OXIDASE-RXN	1.2.3.8
NAD-SYNTH-GLN-RXN	6.3.5.1
RXN-11327	2.4.99.15
RXN-21705	1.3.1.10
RXN-9731	1.13.11.3
RXN-13509	1.14.14.126
ACONITATE-DELTA-ISOMERASE-RXN	5.3.3.7
RXN-19672	1.17.4.4
RXN-9228	1.14.99.60
RXN-8323	1.14.19.25
RXN-10045	3.5.1.97
1.12.5.1-RXN	1.12.5.1
1.6.4.4-RXN	1.8.1.8
RXN-11581	2.1.1.167
RXN-19007	2.4.2.38
RXN-15092	2.7.1.208
RXN-15944	2.7.4.31
RXN-13137	3.2.1.182
RXN-8540	4.2.3.58
RXN-9987	3.2.1.183
RXN-13783	1.14.13.196
RXN-19028	3.2.2.17
RXN-11496	1.2.5.1
XYLISOM-RXN	5.3.1.5
RXN-18247	2.4.1.65
RXN-20216	2.8.2.15
RXN-3584	2.4.1.170
3.2.1.132-RXN	3.2.1.132
RXN-19247	4.1.99.3
RXN-15727	2.8.3.8
RXN-8103	2.1.1.247
1.1.3.35-RXN	1.14.19.67
RXN-12515	3.5.3.24
RXN-20791	2.4.99.13
RXN-12037	1.21.99.4
RXN-9191	2.1.1.163
RXN-5470	2.4.1.267
RXN-17866	2.3.1.257
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	2.6.1.16
1.5.5.1-RXN-YEAST	1.5.5.1
RXN1F-66	2.5.1.62
RXN-21633	1.3.1.9
RXN-18294	2.4.1.92
RXN-21725	2.3.1.86
HISTAMINOTRANS-RXN	2.6.1.9
RXN-10683	4.1.1.90
COUMARATE-REDUCTASE-RXN	1.3.1.11
RXN-15769	2.2.1.12
RXN-13683	3.5.1.114
RXN0-6948	2.3.1.1
RXN66-342	1.1.1.145
3.1.21.2-RXN	3.1.21.2
RXN-9587	4.2.1.144
CARNITINE-3-DEHYDROGENASE-RXN	1.1.1.108
RXN-11835	5.4.99.21
GLUTAMATE-SYNTHASE-NADH-RXN	1.4.1.14
3.4.21.70-RXN	3.4.21.70
RXN-13335	4.2.1.137
TRANS-RXN-161	2.7.1.200
3.2.1.107-RXN	3.2.1.107
RXN-8458	2.3.1.212
RXN-16313	2.3.2.24
RXN-12581	1.1.1.105
RXN1G-53	5.3.3.14
RXN-1823	3.2.1.1
RXN-16118	2.3.1.51
RXN-15086	2.7.1.205
2.6.1.33-RXN	2.6.1.33
S-2-HYDROXY-ACID-OXIDASE-RXN	1.1.3.15
RXN-8966	2.8.3.20
3.1.4.17-RXN	3.1.4.17
HOLO-ACP-SYNTH-RXN	2.7.8.7
1.3.1.2-RXN	1.3.1.2
RXNQT-4169	2.3.3.17
RXN-13204	3.1.3.88
3.4.22.16-RXN	3.4.22.16
RXN-20559	3.1.1.32
3.4.21.41-RXN	3.4.21.41
1.8.1.12-RXN	1.8.1.12
GALACTOSYLCERAMIDE-SULFOTRANSFERASE-RXN	2.8.2.11
RXN-16750	2.7.1.166
RXN-12242	1.3.5.6
RXN1G-172	2.3.1.294
1.2.1.61-RXN	1.2.1.61
RXN-21069	3.1.1.5
RXN-14090	3.1.3.6
RXN-20421	1.3.1.120
RXN-14109	2.4.1.234
RXN-20894	3.5.2.6
RXN-16555	1.2.1.84
RXN-10910	1.4.3.4
HEME-OXYGENASE-DECYCLIZING-RXN	1.14.14.18
RXN-16131	1.3.1.93
RXN-13406	2.1.1.162
RXN-19779	7.2.2.4
RXN-13558	3.5.99.9
2.4.1.65-RXN	2.4.1.65
RXN-18601	1.1.1.409
RXN-11667	4.2.1.150
RXN-17891	2.3.2.8
RXN-15068	3.1.1.4
RXN-9725	1.3.1.77
RXN-10940	3.1.3.62
HYGROMYCIN-B-KINASE-RXN	2.7.1.119
3.2.1.101-RXN	3.2.1.101
RXN0-301	1.5.3.2
2.4.1.86-RXN	2.4.1.86
RXN-20334	4.2.1.134
RXN-21270	3.5.1.135
RXN-16632	1.3.1.9
RXN-11965	1.14.13.166
KDO-8PPHOSPHAT-RXN	3.1.3.45
RXN-9852	2.3.1.65
RXN0-5398	4.2.1.70
RXN-14959	2.8.1.8
RXN-16076	2.3.1.51
3.2.1.131-RXN	3.2.1.131
2.4.2.12-RXN	2.4.2.12
RXN-18411	1.1.1.137
RHAMNISOM-RXN	5.3.1.14
RXN-7568	2.5.1.130
RXN-9087	1.3.1.84
RXN-18441	2.5.1.137
RXN-4161	5.3.3.5
CDPKIN-RXN	2.7.4.6
RXN-12101	5.4.99.50
RXN-14276	4.2.1.119
RXN-17373	4.2.3.155
RXN-11523	1.17.5.2
RXN-11344	6.3.1.12
LEUKOTRIENE-B4-20-MONOOXYGENASE-RXN	1.14.14.94
RXN-20418	1.3.1.120
3.5.1.69-RXN	3.5.1.69
RXN-18246	2.4.1.65
1.14.13.8-RXN	1.14.13.8
APYRASE-RXN	3.6.1.5
ARABINONATE-DEHYDRATASE-RXN	4.2.1.5
2.1.1.130-RXN	2.1.1.130
CYCLOEUCALENOL-CYCLOISOMERASE-RXN	5.5.1.9
RXN-14845	2.6.1.103
